,dialect,translation,(language/dialect)
709,sangko,keep going,(generic Ibibio)
710,isang,walk,(generic Ibibio)
711,wo,out,(generic Ibibio)
712,mmewo,i am leaving,(generic Ibibio)
713,mme owo,people,(generic Ibibio)
714,iso,forward,(generic Ibibio)
715,iso,front,(generic Ibibio)
716,ekekitte,that they saw,(generic Ibibio)
717,ekekit,they saw,(generic Ibibio)
718,kit,see,(generic Ibibio)
719,adat,took,(generic Ibibio)
720,dat,take,(generic Ibibio)
721,adat,ripe,(generic Ibibio)
722,adaidat,red,(generic Ibibio)
723,ndandat,red,(generic Ibibio)
724,awawa,green,(generic Ibibio)
725,mfang,leaf,(generic Ibibio)
726,ifang,much,(generic Ibibio)
727,ke,how,(generic Ibibio)
728,ado,it is,(generic Ibibio)
729,aketre,it stopped,(generic Ibibio)
730,atre,stopped,(generic Ibibio)
731,tre,stop,(generic Ibibio)
732,itie,seat,(generic Ibibio)
733,itie,where,(generic Ibibio)
734,akeabaha,where he was,(generic Ibibio)
735,akeabaha,where she was,(generic Ibibio)
736,akeabaha,where it was,(generic Ibibio)
737,etuak,they hit,(generic Ibibio)
738,tuak,hit,(generic Ibibio)
739,tuai,hits,(generic Ibibio)
740,enuk,pushed,(generic Ibibio)
741,nuk,push,(generic Ibibio)
742,yenge,shake,(generic Ibibio)
743,tuai,shake,(generic Ibibio)
744,ntuai,shakes,(generic Ibibio)
745,to,hit,(generic Ibibio)
746,eto,hit,(generic Ibibio)
747,to,plant,(generic Ibibio)
748,eto,planted,(generic Ibibio)
749,ato,he hits,(generic Ibibio)
750,ato,she hits,(generic Ibibio)
751,iwuod,head,(generic Ibibio)
752,etuak iwuod,bow,(generic Ibibio)
753,eno,to,(generic Ibibio)
754,ekpono,worshipped,(generic Ibibio)
755,etat,opened,(generic Ibibio)
756,etat,unlocked,(generic Ibibio)
757,ebere,wedged,(generic Ibibio)
758,bere,wedge,(generic Ibibio)
759,ebere,supported,(generic Ibibio)
760,bere,support,(generic Ibibio)
761,iberedem,supporter,(generic Ibibio)
762,ekpad,bag,(generic Ibibio)
763,nkpo,things,(generic Ibibio)
764,mkpo,thing,(generic Ibibio)
765,nkpodoho,property,(generic Ibibio)
766,itiad,stone,(generic Ibibio)
767,itiat,stone,(Efik-Ibibio)
768,itiad,rock,(generic Ibibio)
769,itiat,rock,(Efik-Ibibio)
770,enyung,also,(generic Ibibio)
771,anemutebe,sweet smelling,(generic Ibibio)
772,anemutebe,scented,(generic Ibibio)
773,anemufuk,sweet smelling,(generic Ibibio)
774,anemufuk,scented,(generic Ibibio)
775,anem,sweetened,(generic Ibibio)
776,inem,sweet,(generic Ibibio)
777,nem,fun,(generic Ibibio)
778,neme,pleasure,(generic Ibibio)
779,inemesit,happiness,(generic Ibibio)
780,adan,oil,(generic Ibibio)
781,adanokwok,honey,(generic Ibibio)
782,okwok,bee,(generic Ibibio)
783,sia,because,(generic Ibibio)
784,sia,since,(generic Ibibio)
785,totoko,since,(generic Ibibio)
786,emaekekpan,forwarned,(generic Ibibio)
787,kpan,warn,(generic Ibibio)
788,kpan,forbid,(generic Ibibio)
789,ekpan,forbade,(generic Ibibio)
790,ekpan,forbidden,(generic Ibibio)
791,ekpan,warned,(generic Ibibio)
792,ekpan,noose,(generic Ibibio)
793,ayid,locked,(generic Ibibio)
794,udukekpan,hangman noose,(generic Ibibio)
795,ayid,tears,(generic Ibibio)
796,ayire,locked,(generic Ibibio)
797,yid,lock,(generic Ibibio)
798,ayot,tears,(generic Ibibio)
799,eyet,tears,(Efik-Ibibio)
800,tua,cry,(generic Ibibio)
801,ndap,dream,(generic Ibibio)
802,ekutimme,do not go back,(generic Ibibio)
803,ekuutimme,do not go back,(generic Ibibio)
804,ekekit,to see,(generic Ibibio)
805,timme,go back,(generic Ibibio)
806,ku,do not,(generic Ibibio)
807,idoho,not so,(generic Ibibio)
808,kit,see,(generic Ibibio)
809,mana,again,(generic Ibibio)
810,tre,stop,(generic Ibibio)
811,aba,stall,(generic Ibibio)
812,emaesanga usung mfen,they took another route,(generic Ibibio)
813,emaesanga,they walked,(generic Ibibio)
814,usung,road,(generic Ibibio)
815,usung,route,(generic Ibibio)
816,efak,street,(generic Ibibio)
817,mfen,another,(generic Ibibio)
818,dian,add,(generic Ibibio)
819,enyong obio mmo,returned to their country,(generic Ibibio)
820,enyong,left,(generic Ibibio)
821,adi,came,(generic Ibibio)
822,obio,country,(Efik-Ibibio)
823,obio,land,(Efik-Ibibio)
824,obio,city,(Efik-Ibibio)
825,mmo,theirs,(Efik-Ibibio)
826,ammo,theirs,(generic Ibibio)
827,abio,country,(generic Ibibio)
828,abio,land,(generic Ibibio)
829,abio,city,(generic Ibibio)
830,emaekeyongo,when they left,(generic Ibibio)
831,yong,left,(generic Ibibio)
832,yong,go home,(generic Ibibio)
833,yongo,gone,(generic Ibibio)
834,emaekeyongo,when they were gone,(generic Ibibio)
835,awut,showed,(Efik-Ibibio)
836,awot,showed,(generic Ibibio)
837,wut,show,(Efik-Ibibio)
838,wot,show,(generic Ibibio)
839,idem,self,(generic Ibibio)
840,idem,body,(generic Ibibio)
841,dakka,be going,(generic Ibibio)
842,dakka,be gone,(generic Ibibio)
843,ben,take,(generic Ibibio)
844,feghe,run,(generic Ibibio)
845,feghe,flee,(generic Ibibio)
846,udoko,told,(generic Ibibio)
847,doko,tell,(generic Ibibio)
848,kene,follow,(generic Ibibio)
849,akene,it follows,(generic Ibibio)
850,akene,he follows,(generic Ibibio)
851,akene,she follows,(generic Ibibio)
852,ekene,they follow,(generic Ibibio)
853,nko,also,(generic Ibibio)
854,"ama'fon eka idim, aboyo nkok.",the good of the main stream translates to the good of its tributaries ,(generic Ibibio)
855,ndinongo item afere afon nangha edisinne ikpang.,recipe guidance for the broth should be prior to stirring the pot,(generic Ibibio)
856,eban uno akpenghe ke isong,they keep sharpening for you to blunt it by striking the ground,(generic Ibibio)
857,ame kpono ndip ukot akan ifukko.,you are respecting (honouring) your calf muscle more than your tighs,(generic Ibibio)
858,idung isimaha owo ima.,the community (society) do not love you ends,(generic Ibibio)
859,ikpe nyan inua unam esie ekpe ke afe uduk ikod.,reptilian cases are deliberated in the snake court,(generic Ibibio)
860,"ebo akporo nangha unen atoro ke ase kuoko efud, nangha mmi mfang akpakwenge k'ikod.",if the the fowls were to wipe their anus after droppings there would have been no more leaves on trees,(generic Ibibio)
861,"edim akpetuk anyen abong aditan, edikuokoke idod.",the rains might keep falling but editan does not lose its bitterness,(generic Ibibio)
862,ebo ke idoho nke awo asasanga kusung ananna ayen ndien ediongo ke nnanayen asim anye nko,not until one walks about eyes wide opened can it be said that one has seen trouble,(generic Ibibio)
863,akan ndak ukot akedo akpin.,the fermented palmwine was once fresh,(generic Ibibio)
864,suop ye nsun idoho ama.,the soap and housefly are not lovers,(generic Ibibio)
865,ayop afon ifang atongno ke uten.,the good yield palm bunches are seen from their tree health,(generic Ibibio)
866,aboyo iso amono eyin idim.,the first in line sees the colour of the stream,(generic Ibibio)
867,eyen uwuene ase atongo ndien ke ekwong.,the poor child sumptuous meals begins with snail as meat,(generic Ibibio)
868,idoho daha eyen abre ke eba esit eka kebre ke ekpah mfed ette.,a child can play with the mother's breast and not with the father's testicles,(generic Ibibio)
869,akpan aminama nte aya ana wan ette owo se idoho wan ino.,if the first son does not threaten to sleep with his stepmom he is not granted to take a wife,(generic Ibibio)
870,akpa eyen ufoknwed okpok aketo odo.,the lizard was always the first in school,(generic Ibibio)
871,nduk akpakpa ye ekpu.,such association of corn with the rat,(generic Ibibio)
872,nyin itiat ase ana nte eka ana.,the stone is stays with the rock,(generic Ibibio)
873,mikpiidoho uso akpa adiongo uka.,if not for your dad how would you know your mom,(generic Ibibio)
874,owo imaha eka ikpong akema nkok.,one does not love the cocoyam tuber much less love its finger,(generic Ibibio)
875,asanga ase adia nte aka.,a wanderer eats along the way,(generic Ibibio)
876,ama otodoh ado ama kwuoko efod.,when you are done pooing clean your anus,(generic Ibibio)
877,ekuwod owo uko mbak usen mkpo ata.,save the valiant for the day of reckoning,(generic Ibibio)
878,akwa ikang oyom akwa ofob.,great fire serves the great offering,(generic Ibibio)
879,ikpong ibiete akumadia.,why eat undone cocoyan,(generic Ibibio)
880,afaha nte enin ikpong ibenneke.,heavy as an elephant one cannot lift it,(generic Ibibio)
881,eyen ufok ifiok isikongoke ekpat ufien.,the handbag of a wisdom apprentice is hung rightly,(generic Ibibio)
882,iwat ama iwat.,the aged loves the aged,(generic Ibibio)
883,idip adat ndok ono edem.,it is the belly that brings shame to the back,(generic Ibibio)
884,umeukak anam ibikpot akprak k'ebuk.,longsuffering makes the corn pop under heat,(generic Ibibio)
885,anie enyen owo k'otu mme nnan ade obong.,the sighted is lord (king) amongst the blind,(generic Ibibio)
886,anek unek idiongoke nagha edem iba.,the dancer does not know the posture of her back,(generic Ibibio)
887,etongo k'idap ekpep mkpa.,we learn of death in sleep,(generic Ibibio)
888,akpere mm'adiongho k'ekwong ayayong mkpa k'emum nkuup.,if i had known the snail will go i would have had it covered,(generic Ibibio)
889,ama mbre ewa k'ewa awak ofong.,who loves to play with a dog is one whose clothes are torn by the dog,(generic Ibibio)
890,k'usiik adanga eset.,do not lift the ancient beacon stone,(generic Ibibio)
891,owo ade inyene.,people is wealth,(generic Ibibio)
892,kpa nanam ino iyipe idem.,a thief does not steal from himself,(generic Ibibio)
893,ekpu aboko afia ase fefehe inonongho eto.,a rat that escaped a noose trap avoids bended trees,(generic Ibibio)
894,nkirikit idoho asen ke akai.,the owl is not stranger in the forest,(generic Ibibio)
895,"mbogho owo kukpa, mbogho obio ekpo ana nkanga.","i won't say don't die, i won't say let hades be empty",(generic Ibibio)
896,etok un̻n tim dia-dia tim diduk.,young fowl eat well out and come home safe,(generic Ibibio)
897,akpaisong wet daga nkuwet.,army ant draw as i drew yours,(generic Ibibio)
898,akadang idoho nka ye ekid.,the blade is no peer with the axe,(generic Ibibio)
899,abiawen asine ke otu ukwak.,the needle is also an iron,(generic Ibibio)
900,akara nkara isine ubok ke ekpad akara nkara.,the trickster does not dip his hands in another trickster's handbag,(generic Ibibio)
901,ino otoh ino itah.,a thief beating another thief,(generic Ibibio)
902,"ideghe usen etipeke abe,ke nfod ase duo adok.",it is not the day the well is dug that the frog jumps in,(Annang-Ibibio)
903,"ayen akud ete,isidehe nsek.",the child who knows his father is not a baby,(Annang-Ibibio)
904,"ekpe kiene inua ewa, owo ikpi itaha ewa",if the dogs mouth should be a factor in one would not eat its meat,(Annang-Ibibio)
905,inna amma anem abaikpa ke ase abbene ukod akong ke ayong.,it is only when a young girl loves the sex that she lifts her leg up,(Annang-Ibibio)
906,ono owo ndok itreke idia ibio.,one who shames another shares a part in it,(generic Ibibio)
907,iko kiet akem anie ibuot owo.,a word is enough for a wise,(Efik-Ibibio)
908,usen eka afim ke se kid efut unen.,on a windy day we see the fowls anus,(generic Ibibio)
909,ewa atoyo se ke adia akoro inua.,the dog licks its lips when it recalls a certain meal,(generic Ibibio)
910,eka,mother,(generic Ibibio)
911,ette,father,(generic Ibibio)
912,unie,parents,(generic Ibibio)
913,anwan,wife,(generic Ibibio)
914,ebe,husband,(generic Ibibio)
915,ayiniden,son,(generic Ibibio)
916,ayiniban,daughter,(generic Ibibio)
917,ndito,children,(generic Ibibio)
918,ayakaiden,brother,(generic Ibibio)
919,ayakaiban,sister,(generic Ibibio)
920,nditoeka,siblings,(generic Ibibio)
921,ndito nyeyen,cousins,(generic Ibibio)
922,ayaka,relatives,(generic Ibibio)
923,ayinayakaiden,nephew,(generic Ibibio)
924,ayinayaiban,niece,(generic Ibibio)
925,mme nsobom,grandparents,(generic Ibibio)
926,ekam,grandmother,(generic Ibibio)
927,etebom,grandfather,(generic Ibibio)
928,nyeyeniden,grandson,(generic Ibibio)
929,nyeyeniban,granddaughter,(generic Ibibio)
930,nditondito,grandchildren,(generic Ibibio)
931,adansanga,spouse,(generic Ibibio)
932,ete ndo,father-in-law,(generic Ibibio)
933,eka ndo,mother-in-law,(generic Ibibio)
934,ette nyin emi odude ke heaven,our father in heaven,(Efik-Ibibio)
935,nam nyin ikpono aying mfo,hallowed be your name,(Efik-Ibibio)
936,ini ubong mfo edi,your kingdom come,(Efik-Ibibio)
937,yak inam uduak mfo,your will be done,(generic Ibibio)
938,ke isong nte enamde ke heaven,on earth as in heaven,(Efik-Ibibio)
939,no nyoin udia ekekemde nyin ke usen,give us today our daily bread,(Efik-Ibibio)
940,daha do no me idiok mkpo nyin,forgive us our sins,(Efik-Ibibio)
941,nte nyin idahade ino mmo eke namde nyin idiok,as we forgive those who sin against us,(Efik-Ibibio)
942,kuda nyin usin ke idomo edi sio nyin ke idiok,lead us not into temptation but deliver us from evil,(Efik-Ibibio)
943,"koro obioubong, odudu ye ubong enie fi ke emi ye ke nsinsi","for the kingdom, the power, and the glory are yours now and forever",(Efik-Ibibio)
944,obioubong,kingdom,(Efik-Ibibio)
945,odudu,power,(Efik-Ibibio)
946,ubong,glory,(Efik-Ibibio)
947,nsinsi,forever,(Efik-Ibibio)
948,inwek,breath,(generic Ibibio)
949,inwek,strength,(generic Ibibio)
950,inwek,power,(generic Ibibio)
951,ebot,goat,(generic Ibibio)
952,ufene,cattle,(generic Ibibio)
953,enang,cow,(generic Ibibio)
954,enang,horse,(generic Ibibio)
955,ekpu,rat,(generic Ibibio)
956,eku,mouse,(Annang-Ibibio)
957,usine,mouse,(generic Ibibio)
958,adua,squirrel,(generic Ibibio)
959,ewa,dog,(generic Ibibio)
960,ebua,dog,(Efik-Ibibio)
961,anwa,cat,(generic Ibibio)
962,erong,sheep,(generic Ibibio)
963,edi,pig,(generic Ibibio)
964,ekpe,leopard,(generic Ibibio)
965,ekpe,cheetah,(generic Ibibio)
966,nyamekpe,lion,(generic Ibibio)
967,enin,elephant,(generic Ibibio)
968,ebok,monkey,(generic Ibibio)
969,idiok,chimpanzee,(generic Ibibio)
970,omonidiok,gorilla,(generic Ibibio)
971,ekwong,snail,(generic Ibibio)
972,udukikod,snake,(generic Ibibio)
973,urukikot,snake,(Efik-Ibibio)
974,okpok,lizard,(Efik-Ibibio)
975,akpok,lizard,(generic Ibibio)
976,afiom,crocodile,(generic Ibibio)
977,effiom,crocodile,(Efik-Ibibio)
978,iquod,frog,(generic Ibibio)
979,utai,alligator,(generic Ibibio)
980,unen,fowl,(generic Ibibio)
981,unen,chicken,(generic Ibibio)
982,awowo,duck,(generic Ibibio)
983,ikid mmong,turtle,(generic Ibibio)
984,ikid,tortoise,(generic Ibibio)
985,ekongabukayop,crow,(generic Ibibio)
986,utere,vulture,(generic Ibibio)
987,ndukpo,hawk,(generic Ibibio)
988,ntrukpom,sea eagle,(generic Ibibio)
989,akukwo,falcon,(generic Ibibio)
990,akpaisong,fire ant,(generic Ibibio)
991,mkpoikot,soldier ant,(generic Ibibio)
992,utung,worm,(generic Ibibio)
993,ukpongayin,gecko,(generic Ibibio)
994,mfem,cockroach,(generic Ibibio)
995,atad,wasp,(generic Ibibio)
996,nsung,housefly,(generic Ibibio)
997,mkpuk,sandfly,(generic Ibibio)
998,abong,mosquito,(generic Ibibio)
999,ntinya,fruitfly,(generic Ibibio)
1000,akwok,bee,(generic Ibibio)
1001,ufadikang,water scorpion,(generic Ibibio)
1002,isobo,crab,(generic Ibibio)
1003,nkang,centipede,(generic Ibibio)
1004,etim,millipede,(generic Ibibio)
1005,ayud,cane rat,(generic Ibibio)
1006,mkpekpem,bat,(generic Ibibio)
1007,nkidikid,owl,(generic Ibibio)
1008,ndube,winged termites,(generic Ibibio)
1009,ebunkakad,termites colony,(generic Ibibio)
1010,ebu,termites,(generic Ibibio)
1011,iyak,fish,(generic Ibibio)
1012,nkakad,termite,(generic Ibibio)
1013,inagha,catfish,(generic Ibibio)
1014,adiaha,first daughter,(generic Ibibio)
1015,Ami nta' akara,I am eating akara ,(Annang-Ibibio)
1016,Ikp,cocoyam ,(Annang-Ibibio)
1017,Ukpanya',spanish,(Annang-Ibibio)
1018,uwak,several,(Annang-Ibibio)
1019,isantim,hippopotamus,(generic Ibibio)
1020,akukwo,falcon,(generic Ibibio)
0,di dia mkpo,come and eat,(generic Ibibio)
